Event Title,Event Date,City,Region,Distances,Difficulty,Registration Link,Kind Of Sports,Source
Большая Катунская тропа,2024-09-09,Тюнгур,Алтай,215 км,ultra,https://altai-trail.ru#new_tab,Running,https://marathonec.ru/
Пробег «Пушкин – Санкт-Петербург» 2024,2024-09-15,Санкт-Петербург,Санкт-Петербург,"10 км, 30 км, 42 км, 5 км",long,https://marathonec.ru/pushkin-peterburg-gid/,Running,https://marathonec.ru/
Марафон «Джейрах»,2024-09-21,Армхи,Ингушетия,"21 км, 4 км, 42 км, 8 км",long,https://marathonec.ru/marathon-dzheirah/,Running,https://marathonec.ru/
Горный ультрамарафон White Bride Ultra,2024-09-28,Геленджик,Краснодарский,"120 км, 15 км, 3 км, 30 км, 50 км, 70 км",ultra,https://marathonec.ru/white-bride-ultra/,Running,https://marathonec.ru/
Осенний кросс «Быстрый пёс»,2024-09-28,Москва,Москва,2 км,light,https://marathonec.ru/kross-bystry-pes-osen/,Running,https://marathonec.ru/
X Trail Красмарафон,2024-09-29,Красноярск,Красноярский,"10 км, 2 км",light,https://marathonec.ru/x-trail-krasnoyarsk/,Running,https://marathonec.ru/
"Международный Балтийский марафон «Вера, Надежда, Любовь»",2024-09-29,Санкт-Петербург,Санкт-Петербург,"10 км, 21 км, 42 км, 5 км, 63 км",ultra,https://russiarunning.com/event/BalticOrden2024/#new_tab,Running,https://marathonec.ru/
Осенний кросс «Лисья гора»,2024-09-29,Москва,Москва,"2 км, 4 км, 6 км, 8 км",light,https://marathonec.ru/kross-lisya-gora-osen/,Running,https://marathonec.ru/
Октобертрейл,2024-10-06,Новосибирск,Новосибирская,"10 км, 21 км",medium,https://marathonec.ru/october-trail/,Running,https://marathonec.ru/
Сайлык трейл,2024-10-06,Железногорск,Красноярский,"18 км, 31 км, 6 км",long,https://strail.ru#new_tab,Running,https://marathonec.ru/
Осенний Павловский забег,2024-10-06,Санкт-Петербург,Санкт-Петербург,"10 км, 21 км, 3 км",medium,https://marathonec.ru/osennij-pavlovskij-zabeg/,Running,https://marathonec.ru/
Фестиваль бега Rosa Run,2024-10-10,Сочи,Краснодарский,"2 км, 26 км, 7 км, 8 км",long,https://marathonec.ru/rosa-run-festival-bega/,Running,https://marathonec.ru/
Сормовский осенний пробег имени Г. П. Терентьева,2024-10-13,Нижний Новгород,Нижегородская,"10 км, 20 км, 5 км",medium,https://vk.com/sormovobeg#new_tab,Running,https://marathonec.ru/
Московский марафон 2024,2024-10-13,Москва,Москва,"10 км, 42 км",long,https://marathonec.ru/moscow-marathon/,Running,https://marathonec.ru/
O-Trail Ferrum,2024-10-20,Железноводск,Ставропольский,"13 км, 26 км, 3 км, 40 км, 9 км",long,https://marathonec.ru/o-trail-ferrum/,Running,https://marathonec.ru/
Крылатский трейл,2024-10-27,Москва,Москва,"4 км, 8 км",light,https://marathonec.ru/krylatsky-trail/,Running,https://marathonec.ru/
INDOOR,2023-12-24,Москва,Москва,10 мин - 30 мин - 20 мин,-,https://iron-star.com/event/ironstar-xfit-indoor-cup-moscow-2023-II-etap/,Triathlon,https://iron-star.com/
INDOOR,2024-01-21,Москва,Москва,10 мин - 30 мин - 20 мин,-,https://iron-star.com/event/ironstar-xfit-indoor-cup-moscow-2024-III-etap/,Triathlon,https://iron-star.com/
INDOOR,2024-02-18,Москва,Москва,10 мин - 30 мин - 20 мин,-,https://iron-star.com/event/ironstar-xfit-indoor-cup-moscow-2024-IV-etap/,Triathlon,https://iron-star.com/
INDOOR,2024-03-24,Москва,Москва,10 мин - 30 мин - 20 мин,-,https://iron-star.com/event/ironstar-xfit-indoor-cup-moscow-2024-V-etap/,Triathlon,https://iron-star.com/
IRONSTAR 1/4,2024-05-25,Анапа,Краснодарский,1 км - 45 км - 10 км,-,https://iron-star.com/event/ironstar-1-4-anapa-2024/,Triathlon,https://iron-star.com/
IRONSTAR 1/8,2024-05-25,Анапа,Краснодарский,"0,50 км - 22 км - 5 км",-,https://iron-star.com/event/ironstar-1-8-anapa-2024/,Triathlon,https://iron-star.com/
