Event Title,Event Date,City,Region,Distances,Difficulty,Registration Link,Kind Of Sports,Source
Minutes Казань 2024,2024-05-11,Казань,-,"60 мин, 30 мин, 15 мин, 10 мин",-,https://reg.place/events/swimcup-minutes-kazan-2024,Swimming,https://swimcup.ru/
Indoor Казань 2024,2024-05-12,Казань,-,"1000м, 500м",-,https://reg.place/events/swimcup-indoor-kazan-2024,Swimming,https://swimcup.ru/
Крылатское 2024,2024-05-26,Гребной Канал Москва,-,"1000, 1852, 5000 м",-,https://reg.place/events/krylo-2024,Swimming,https://swimcup.ru/
Коренево 2024,2024-06-01,Московская обл.,-,"1000, 2000. 3000, 3x300",-,https://reg.place/events/korenevo-2024,Swimming,https://swimcup.ru/
Торбеево 2024,2024-06-08,Сергиев Посад,-,"1000, 2000, 4000 м",-,https://reg.place/events/torbeevo-2024,Swimming,https://swimcup.ru/
Б. Крылатский пруд 2024,2024-06-12,Москва,-,"500, 1000, 1500, 3х300",-,https://reg.place/events/bkp-2024,Swimming,https://swimcup.ru/
Озернинское 2024,2024-06-15,Руза,-,"1000, 2000, 5000, 10000 м",-,https://reg.place/events/ozerninskoe-2024,Swimming,https://swimcup.ru/
Белое Озеро 2024,2024-06-23,Москва,-,"800, 1500, 3000м",-,https://reg.place/events/beloe2024,Swimming,https://swimcup.ru/
Волга 2024,2024-06-29,Кинешма,-,"600, 1500, 5000 м",-,https://reg.place/events/volga-2024,Swimming,https://swimcup.ru/
Рубское 2024,2024-06-30,Ивановская обл,-,"1000, 1500, 3000, 5000, 3х300",-,https://reg.place/events/rubskoe-2024,Swimming,https://swimcup.ru/
Ветрено 2024,2024-07-06,Ярославская обл.,-,"12000, 24000 м",-,https://reg.place/events/vetreno-2024,Swimming,https://swimcup.ru/
Калязин 2024,2024-07-07,Калязин,-,"1000, 2500, 5000",-,https://reg.place/events/swimcup-kalyazin-2024,Swimming,https://swimcup.ru/
Кудыкина Гора 2024,2024-07-13,Липецкая обл.,-,"500, 1500, 3700, 5800, 9300 m",-,https://reg.place/events/swimcup-gora-2024,Swimming,https://swimcup.ru/
Онего 2024,2024-07-20,Петрозаводск,-,"1000, 2000, 3000, 5000, 10000 м",-,https://reg.place/events/swimcup-onego-2024,Swimming,https://swimcup.ru/
Великий Новгород 2024,2024-08-03,Великий Новгород,-,"900, 3000, 5500 м",-,https://reg.place/events/swimcup-velikij-novgorod-2024,Swimming,https://swimcup.ru/
Псков 2024,2024-08-10,Псков,-,"1700, 2500, 5000",-,https://reg.place/events/swimcup-pskov-2024,Swimming,https://swimcup.ru/
Пестовское 2024,2024-08-11,Пушкино МО,-,"1000, 2000, 5000м",-,https://reg.place/events/pestovskoe-2024,Swimming,https://swimcup.ru/
Сахалин Тунайча 2024,2024-08-25,Сахалин,-,"1000, 2000, 4000",-,https://reg.place/events/swimcup-sahalin-tunajcha-2024,Swimming,https://swimcup.ru/
Minutes Сахалин 2024,2024-08-28,Сахалин,-,"60 мин, 30 мин, 15 мин, 10 мин",-,https://reg.place/events/swimcup-minutes-sahalin-2024,Swimming,https://swimcup.ru/
Сахалин Анива 2024,2024-08-31,Сахалин,-,"2000, 4000, 16000",-,https://reg.place/events/swimcup-sahalin-aniva-2024,Swimming,https://swimcup.ru/
Руза 2024,2024-08-31,Руза,-,"1000, 1852, 5000, 10000 м",-,https://reg.place/events/swimcup-ruza-2024,Swimming,https://swimcup.ru/
Москва 2024,2024-09-07,Крылатское,-,"500, 1000, 2000",-,https://reg.place/events/swimcup-moskva-2024,Swimming,https://swimcup.ru/
Сулак 2024,2024-09-14,Сулак,-,3000,-,https://reg.place/events/swimcup-sulak-2024,Swimming,https://swimcup.ru/
Сочи Финал 2024,2024-10-05,Сочи,-,"1000, 2300, 5000",-,Registration not open,Swimming,https://swimcup.ru/
X-WATERS Moscow Istra 2024,2024-06-15,Загородный клубРОМАНТИК,-,"500 м, 1 км, 2 км, 6 кмэстафета 3х1 км, X-KIDS 50 м, X-KIDS 200 м",-,https://x-waters.com/events/moscow/,Swimming,https://x-waters.com/
X-WATERS Murom 2024,2024-06-22,"р. Ока,г. Муром",-,":1 миля, 5 км, 10 км",-,https://x-waters.com/events/murom/,Swimming,https://x-waters.com/
X-WATERS Ufa 2024,2024-06-30,Уфарека Белая,-,": 2 км, 3,5 км, 5 км,эстафеты 5+5 км, 10 км, 20 км",-,https://x-waters.com/events/ufa/,Swimming,https://x-waters.com/
X-WATERS Seliger 2024,2024-07-06,"оз. Селигер,г. Осташков",-,"500 м, 1 км, 1 миля, 2х1 км,3 км, 5 км, 11 км, Детские старты",-,https://x-waters.com/events/seliger/,Swimming,https://x-waters.com/
X-WATERS Yenisei 2024,2024-07-13,"р. Енисей, Дудинка,Норильск, Красноярский край",-,":5 км, 500 м, 100 м",-,https://x-waters.com/events/yenisei/,Swimming,https://x-waters.com/
X-WATERS Ural 2024,2024-07-13,"Озеро Тургояк,г. Миасс",-,"1 км, 1 миля, 5 км, 10 км, 21км,эстафеты 5+5 км, 3×1 км",-,https://x-waters.com/events/ural/,Swimming,https://x-waters.com/
X-WATERS Ugra 2024,2024-07-19,"р. Иртыш - р. Обь,Ханты-Мансийск",-,"2 км, 10 км, 25 км",-,https://x-waters.com/events/ugra/,Swimming,https://x-waters.com/
X-WATERS Volga 2024,2024-07-26,"р. Волга,Нижний Новгород",-,"1, 2, 3, 5 км",-,https://x-waters.com/events/volga/,Swimming,https://x-waters.com/
X-WATERS Kazakhstan 2024,2024-08-04,"Озеро Боровое,п. Бурабай",-,"1 км, эстафета 3х500 м, 4 км,8 км, детский заплыв X-KIDS 500 м",-,https://x-waters.com/events/kazakhstan/,Swimming,https://x-waters.com/
X-WATERS Imandra 2024,2024-08-10,"оз. Имандра,Мончегорск",-,":1 км, 2,5 км, 10 км",-,https://x-waters.com/events/imandra/,Swimming,https://x-waters.com/
X-WATERS Moscow Ruza 2024,2024-08-17,"Рузское водохранилище,Санаторий “Русь”, Руза",-,"1 км, эстафета 2х1 км, 3 км,5 км, детские заплывы X-KIDS",-,https://x-waters.com/events/moscow-ruza/,Swimming,https://x-waters.com/
X-WATERS Samara 181,2024-08-14,"Самарская Лука,Самара, Россия",-,"181 км эстафета 4-6 участников,эстафета 2 участника и сольное участие",-,https://x-waters.com/events/samara/,Swimming,https://x-waters.com/
X-WATERS Saint Petersburg 2024,2024-08-23,Санкт-ПетербургЕлагин остров,-,": Остров (5 км),1 миля, 900 м.",-,https://x-waters.com/events/saint-petersburg2024/,Swimming,https://x-waters.com/
X-WATERS Vladivostok 2024,2024-09-14,"Владивосток, о-в РусскийБосфор Восточный",-,"10 км, 5 км, 2000 м, 1200 м,Детские старты, Обними Россию",-,https://x-waters.com/events/vladivostok/,Swimming,https://x-waters.com/
X-WATERS Kaliningrad 2024,2024-09-15,"Синявинское озеро, Янтарный,Калининградская область",-,"1 км, 3 км, 5 км",-,https://x-waters.com/events/kaliningrad/,Swimming,https://x-waters.com/
X-WATERS Nuclear 2024,2024-09-27,"Смоленская обл.,г. Десногорск",-,"дистанции 1 км, 1 миля,3 км, 5 км, 10 км, X-KIDS 200 м",-,https://x-waters.com/events/nuclear/,Swimming,https://x-waters.com/
X-WATERS Slovenia 2024,2024-09-28,"озеро Блед,Словения",-,": 500 м, 1 миля, 5 км,эстафета 2х500 м, детский заплыв X-KIDS 50 м",-,https://x-waters.com/events/slovenia/,Swimming,https://x-waters.com/
X-WATERS Arctic 2025,2025-08-09,пос. ТериберкаМурманская обл.,-,":1 км, 1 арктическая миля",-,https://x-waters.com/events/x-waters-arctic/,Swimming,https://x-waters.com/
